codigo_tce;nome_municipio;fonte_url
086;Igaracy;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/086/despesas/despesas-2026.zip
087;Imaculada;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/087/despesas/despesas-2026.zip
088;Ingá;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/088/despesas/despesas-2026.zip
089;Itabaiana;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/089/despesas/despesas-2026.zip
090;Itaporanga;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/090/despesas/despesas-2026.zip
091;Itapororoca;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/091/despesas/despesas-2026.zip
092;Itatuba;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/092/despesas/despesas-2026.zip
093;Jacaraú;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/093/despesas/despesas-2026.zip
094;Jericó;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/094/despesas/despesas-2026.zip
095;João Pessoa;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/095/despesas/despesas-2026.zip
096;Juarez Távora;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/096/despesas/despesas-2026.zip
097;Juazeirinho;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/097/despesas/despesas-2026.zip
098;Junco do Seridó;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/098/despesas/despesas-2026.zip
099;Juripiranga;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/099/despesas/despesas-2026.zip
100;Juru;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/100/despesas/despesas-2026.zip
101;Lagoa;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/101/despesas/despesas-2026.zip
102;Lagoa de Dentro;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/102/despesas/despesas-2026.zip
